,nbSyll,pron,origin,warning,remarques,POS,lineId,pageId,motVedette,hwd,Sampa,ipa
5521,2,mărĭʹne,F.,,,a.,25.0,136,marine,marine,m 3:r i: n,mɜ:riːn
5522,3,măʹriner,F.,,,n.,26.0,136,mariner,mariner,m E r\ @ n 3:r,mɛɹənɜ:r
5523,2,măʹrĭʹn_e_s,F.,,,n.,27.0,136,marines,marines,m 3:r i: n z,mɜ:riːnz
5524,3,măʹrĭtime,L.,,,a.,29.0,136,maritime,maritime,m E r\ @ t aI m,mɛɹət?m
5525,2,măʹrket,,,,n.,31.0,136,market,market,m A r\ k @ t,mɑɹkət
5526,4,măʹrkĕtable,,,,a.,32.0,136,marketable,marketable,m A r\ k @ 4 @ b @ l,mɑɹkəɾəbəl
5527,1,măʹrmŏſet,,,,a.,37.0,136,marmoset,marmoset,m A r\ m @ z E t,mɑɹməzɛt
5528,1,maʹrq_ue_,,,,n.,40.0,136,marque,marque,m A r\ k,mɑɹk
5529,2,mărquis,F.,nbSyll>1 et pas d'accent tonic,,n.,42.0,136,marquis,marquis,m A r\ k i:,mɑɹkiː
5530,1,marr,,,,v.,44.0,136,marr,marr,m A r\,mɑɹ
5531,3,măʹrrĭ_a_ge,F.,,,n.,45.0,136,marriage,marriage,m E r\ i dZ,mɛɹi?
5532,2,măʹrro_w_,,,,n.,47.0,136,marrow,marrow,m E r\ @U,mɛɹoʊ
5533,2,măʹrry,F.,,,v.,48.0,136,marry,marry,m E r\ i:,mɛɹiː
5534,1,mars,,,,n.,49.0,136,mars,mars,m A r\ z,mɑɹz
5535,1,marſh,,,,n.,50.0,136,marsh,marsh,m A r\ S,mɑɹʃ
5536,2,măʹrſhal,F.,,,n.,51.0,136,marshal,marshal,m A r\ S @ l,mɑɹʃəl
5537,1,mărt,,,,n.,53.0,136,mart,mart,m A r\ t,mɑɹt
5538,2,măʹrten,,,,n.,54.0,136,marten,marten,m A r\ t @ n,mɑɹtən
5539,3,măʹrtial,,,,a.,55.0,136,martial,martial,m A r\ S @ l,mɑɹʃəl
5540,2,măʹrtĭn,,,,n.,56.0,136,martin,martin,m A r\ t @ n,mɑɹtən
5541,3,măʹrtĭngāle,F.,,,n.,57.0,136,martingale,martingale,m A r\ 4 i N eI l,mɑɹɾiŋ?l
5542,2,măʹrvel,F.,,,v.,62.0,136,marvel,marvel,m A r\ v @ l,mɑɹvəl
5543,3,măʹrvĕl_o_us,,,,a.,63.0,136,marvelous,marvelous,m A r\ v @ l @ s,mɑɹvələs
5544,3,măʹſcūlĭne,,,,n.,64.0,136,masculine,masculine,m { s k j @ l @ n,mæskjələn
5545,1,măſh,,,,n.,65.0,136,mash,mash,m { S,mæʃ
5546,1,maſk,F.,,,n.,66.0,136,mask,mask,m { s k,mæsk
5547,2,măʹſon,,,,n.,67.0,136,mason,mason,m eI s @ n,m?sən
5548,3,măʹsŏnry,,,,n.,68.0,136,masonry,masonry,m eI s @ n r\ i:,m?sənɹiː
5549,3,măſquĕrāʹde,F.,,,n.,70.0,136,masquerade,masquerade,m { s k 3:r eI d,mæskɜ:r?d
5550,1,măſs,,,,n.,71.0,136,mass,mass,m { s,mæs
5551,3,măſsăcr_e_,,nbSyll>1 et pas d'accent tonic,,n.,72.0,136,massacre,massacre,m { s @ k 3:r,mæsəkɜ:r
5552,2,măʹſsĭve,F.,,,a.,73.0,136,massive,massive,m { s i v,mæsiv
5553,1,măſt,,,,n.,2.0,137,mast,mast,m { s t,mæst
5554,2,măſt_e_r,,nbSyll>1 et pas d'accent tonic,,n.,3.0,137,master,master,m { s t 3:r,mæstɜ:r
5555,3,măʹſtĕrly,,,,a.,5.0,137,masterly,masterly,m { s t 3:r l i:,mæstɜ:rliː
5556,3,măʹſtĕrpiece,,,,n.,6.0,137,masterpiece,masterpiece,m { s t 3:r p i: s,mæstɜ:rpiːs
5557,3,măʹſtĕry,,,,n.,8.0,137,mastery,mastery,m { s t 3:r i:,mæstɜ:riː
5558,2,măʹſtiff,,,,n.,13.0,137,mastiff,mastiff,m { s t @ f,mæstəf
5559,1,măt,,,,n.,14.0,137,mat,mat,m { t,mæt
5560,1,mătch,,,,n.,15.0,137,match,match,m { tS,mæ?
5561,1,māte,,,,n.,17.0,137,mate,mate,m eI t,m?t
5562,4,mătĕʹrĭā,,,,n.,18.0,137,materia,materia,m @ t I r\ i: @,mətɪɹiːə
5563,4,mătĕʹrĭal,,,,a.,19.0,137,material,material,m @ t I r\ i: @ l,mətɪɹiːəl
5564,6,matĕrĭaʹlĭty,,,,n.,21.0,137,materiality,materiality,m @ t I r\ i: { l i 4 i:,mətɪɹiːæliɾiː
5565,4,matĕʹrĭals,L.,,,n.,22.0,137,materials,materials,m @ t I r\ i: @ l z,mətɪɹiːəlz
5566,3,mătĕʹrnal,,,,a.,23.0,137,maternal,maternal,m @ t 3:r n @ l,mətɜ:rnəl
5567,1,măth,,,,n.,24.0,137,math,math,m { T,mæθ
5568,5,măthĕmăʹtĭcal,L.,,,a.,25.0,137,mathematical,mathematical,m { T @ m { 4 i k @ l,mæθəmæɾikəl
5569,6,măthĕmătĭʹcĭan,,,,n.,26.0,137,mathematician,mathematician,m { T @ m @ t I S @ n,mæθəmətɪʃən
5570,4,măthĕmăʹtics,,,,n.,27.0,137,mathematics,mathematics,m { T @ m { 4 i k s,mæθəmæɾiks
5571,5,mătrĭmōʹnĭal,L.,,,a.,36.0,137,matrimonial,matrimonial,m { t r\ @ m @U n i: @ l,mætɹəmoʊniːəl
5572,4,măʹtrĭmŏny,L.,,,n.,37.0,137,matrimony,matrimony,m { t r\ @ m @U n i:,mætɹəmoʊniː
5573,2,māʹtron,L.,,,n.,38.0,137,matron,matron,m eI t r\ @ n,m?tɹən
5574,2,mătt_e_r,,nbSyll>1 et pas d'accent tonic,,n.,41.0,137,matter,matter,m { 4 3:r,mæɾɜ:r
5575,2,măʹttreſs,,,,n.,43.0,137,mattress,mattress,m { t r\ @ s,mætɹəs
5576,5,mātūrāʹtion,L.,,,n.,44.0,137,maturation,maturation,m { tS 3:r eI S @ n,mæ?ɜ:r?ʃən
5577,2,māʹtūre,,,,a.,45.0,137,mature,mature,m @ tS U r\,mə?ʊɹ
5578,4,mātūʹrĭty,L.,,,n.,46.0,137,maturity,maturity,m @ tS U r\ @ 4 i:,mə?ʊɹəɾiː
5579,2,mauʹdlin,,,,a.,47.0,137,maudlin,maudlin,m O: d l i n,mOːdlin
5580,2,māʹvis,F.,,,n.,49.0,137,mavis,mavis,m eI v i s,m?vis
5581,1,maund,,,,n.,52.0,137,maund,maund,m O: n d,mOːnd
5582,1,māw,,,,n.,56.0,137,maw,maw,m O:,mOː
5583,2,maʹwkiſh,,,,a.,57.0,137,mawkish,mawkish,m O: k i S,mOːkiʃ
5584,3,măxĭʹllā,,,,n.,59.0,137,maxilla,maxilla,m { k s I l @,mæksɪlə
5585,2,măʹxim,L.,,,n.,60.0,137,maxim,maxim,m { k s @ m,mæksəm
5586,1,may,,,,n.,61.0,137,may,may,m eI,m?
5587,2,maʹyor,,,,n.,62.0,137,mayor,mayor,m eI 3:r,m?ɜ:r
5588,4,măʹyŏrălty,,,,n.,63.0,137,mayoralty,mayoralty,m eI 3:r @ l t i:,m?ɜ:rəltiː
5589,1,māze,,,,n.,66.0,137,maze,maze,m eI z,m?z
5590,2,māʹz_e_r,,,,n.,67.0,137,mazer,mazer,m eI z 3:r,m?zɜ:r
5591,1,mead,,,,n.,69.0,137,mead,mead,m i: d,miːd
5592,2,meaʹdo_w_,,,,n.,70.0,137,meadow,meadow,m E d @U,mɛdoʊ
5593,2,meaʹgre,F.,,,a.,72.0,137,meagre,meagre,m i: g 3:r,miːgɜ:r
5594,1,meal,,,,n.,73.0,137,meal,meal,m i: l,miːl
5595,2,meaʹly,,,,a.,2.0,138,mealy,mealy,m i: l i:,miːliː
5596,1,mean,,,,n.,3.0,138,mean,mean,m i: n,miːn
5597,3,mēăʹnd_e_rs,,,,n.,4.0,138,meanders,meanders,m i: { n d 3:r z,miːændɜ:rz
5598,3,meaʹning,,,,n.,5.0,138,meaning,meaning,m i: n i N,miːniŋ
5599,1,means,,,,n.,6.0,138,means,means,m i: n z,miːnz
5600,1,mear,,,,n.,7.0,138,mear,mear,m I r\,mɪɹ
5601,1,meaſe,,,,n.,9.0,138,mease,mease,m i: z,miːz
5602,2,meaʹſles,,,,n.,10.0,138,measles,measles,m i: z @ l z,miːzəlz
5603,4,meaʹsūrable,L.,,,a.,11.0,138,measurable,measurable,m E Z 3:r @ b @ l,mɛʒɜ:rəbəl
5604,2,meaʹsure,,,,n.,12.0,138,measure,measure,m E Z 3:r,mɛʒɜ:r
5605,1,meat,,,,n.,13.0,138,meat,meat,m i: t,miːt
5606,4,mĕc_h_ăʹnical,,,,a.,15.0,138,mechanical,mechanical,m @ k { n i k @ l,məkænikəl
5607,3,mec_h_ăʹnic,,,,n.,16.0,138,mechanic,mechanic,m @ k { n i k,məkænik
5608,3,mĕʹc_h_ăniſm,,,,n.,17.0,138,mechanism,mechanism,m E k @ n I z @ m,mɛkənɪzəm
5609,3,mĕc_h_ăʹnics,,,,n.,18.0,138,mechanics,mechanics,m @ k { n i k s,məkæniks
5610,2,mĕʹdal,F.,,,n.,19.0,138,medal,medal,m E 4 @ l,mɛɾəl
5611,3,medăʹllĭon,F.,,,n.,20.0,138,medallion,medallion,m @ d { l j @ n,mədæljən
5612,2,mĕʹddle,,,,v.,21.0,138,meddle,meddle,m E 4 @ l,mɛɾəl
5613,3,mĕʹdĭal,L.,,,a.,22.0,138,medial,medial,m i: 4 i: @ l,miːɾiːəl
5614,3,mĕʹdĭāte,L.,,,v.,23.0,138,mediate,mediate,m i: 4 i: eI t,miːɾiː?t
5615,5,mĕdĭāʹtion,L.,,,n.,24.0,138,mediation,mediation,m i: 4 i: eI S @ n,miːɾiː?ʃən
5616,4,mĕdĭāʹtor,F.,,,n.,25.0,138,mediator,mediator,m i: 4 i: eI 4 3:r,miːɾiː?ɾɜ:r
5617,4,mĕdĭʹcĭnal,L.,,,a.,30.0,138,medicinal,medicinal,m @ d I s @ n @ l,mədɪsənəl
5618,3,mĕʹdicĭne,L.,,,n.,31.0,138,medicine,medicine,m E 4 @ s @ n,mɛɾəsən
5619,5,mĕdĭŏʹcrĭty,L.,,,n.,32.0,138,mediocrity,mediocrity,m i: 4 i: A k r\ @ 4 i:,miːɾiːɑkɹəɾiː
5620,3,mĕʹdĭtāte,L.,,,v.,33.0,138,meditate,meditate,m E 4 @ t eI t,mɛɾət?t
5621,5,mĕdĭtāʹtion,F.,,,n.,34.0,138,meditation,meditation,m E 4 @ t eI S @ n,mɛɾət?ʃən
5622,4,mĕʹdĭtătive,,,,a.,35.0,138,meditative,meditative,m E 4 @ t eI 4 i v,mɛɾət?ɾiv
5623,6,mĕdĭtĕrrāʹnėȧn,,,,n.,36.0,138,mediterranean,mediterranean,m E 4 @ 4 3:r eI n i: @ n,mɛɾəɾɜ:r?niːən
5624,3,mēʹdĭum,L.,,,n.,37.0,138,medium,medium,m i: 4 i: @ m,miːɾiːəm
5625,2,mĕʹdlar,,,,n.,38.0,138,medlar,medlar,m E d l 3:r,mɛdlɜ:r
5626,2,mĕʹdler,,,,n.,39.0,138,medler,medler,m E d l 3:r,mɛdlɜ:r
5627,2,mĕʹdley,,,,n.,40.0,138,medley,medley,m E d l i:,mɛdliː
5628,1,meek,,,,a.,42.0,138,meek,meek,m i: k,miːk
5629,1,meer,,,,a.,45.0,138,meer,meer,m i: 3:r,miːɜ:r
5630,1,meet,,,,a.,46.0,138,meet,meet,m i: t,miːt
5631,4,mĕlănc_h_ŏlic,,nbSyll>1 et pas d'accent tonic,,a.,50.0,138,melancholic,melancholic,m E l @ n k A l i k,mɛlənkɑlik
5632,4,mĕʹlănc_h_ŏly,G.,,,n.,51.0,138,melancholy,melancholy,m E l @ n k A l i:,mɛlənkɑliː
5633,2,mĕʹllo_w_,,,,n.,59.0,138,mellow,mellow,m E l @U,mɛloʊ
5634,4,melōʹdĭ_o_us,L.,,,a.,60.0,138,melodious,melodious,m @ l @U 4 i: @ s,məloʊɾiːəs
5635,3,mĕʹlŏdy,L.,,,n.,61.0,138,melody,melody,m E l @ 4 i:,mɛləɾiː
5636,2,mĕʹlon,F.,,,n.,62.0,138,melon,melon,m E l @ n,mɛlən
5637,1,mĕlt,,,,v.,64.0,138,melt,melt,m E l t,mɛlt
5638,2,mĕʹmb_e_r,F.,,,n.,65.0,138,member,member,m E m b 3:r,mɛmbɜ:r
5639,2,mĕʹmbrāne,L.,,,n.,66.0,138,membrane,membrane,m E m b r\ eI n,mɛmbɹ?n
5640,3,memĕʹntо,L.,,,n.,69.0,138,memento,memento,m i m E n t @U,mimɛntoʊ
5641,2,mĕmoiʹrs,,,,n.,70.0,138,memoirs,memoirs,m E m w A r\ z,mɛmwɑɹz
5642,4,mĕmŏrable,,nbSyll>1 et pas d'accent tonic,,a.,71.0,138,memorable,memorable,m E m 3:r @ b @ l,mɛmɜ:rəbəl
5643,4,mĕmŏrăʹndum,L.,,,n.,72.0,138,memorandum,memorandum,m E m 3:r { n d @ m,mɛmɜ:rændəm
5644,4,memōʹrĭal,L.,,,n.,73.0,138,memorial,memorial,m @ m O: r\ i: @ l,məmOːɹiːəl
5645,3,mĕʹmŏry,L.,,,n.,2.0,139,memory,memory,m E m 3:r i:,mɛmɜ:riː
5646,2,mĕʹnăce,F.,,,v.,3.0,139,menace,menace,m E n @ s,mɛnəs
5647,1,mĕnd,,,,v.,4.0,139,mend,mend,m E n d,mɛnd
5648,3,meʹnĭal,L.,,,a.,6.0,139,menial,menial,m i: n i: @ l,miːniːəl
5649,2,mĕʹntal,,,,a.,13.0,139,mental,mental,m E n t @ l,mɛntəl
5650,3,mĕʹntion,,,,v.,14.0,139,mention,mention,m E n S @ n,mɛnʃən
5651,3,mĕʹrcăntile,F.,,,a.,15.0,139,mercantile,mercantile,m 3:r k @ n t aI l,mɜ:rkənt?l
5652,4,mĕʹrcĕnăry,L.,,,n.,16.0,139,mercenary,mercenary,m 3:r s @ n E r\ i:,mɜ:rsənɛɹiː
5653,2,mĕʹrcer,F.,,,n.,17.0,139,mercer,mercer,m 3:r s 3:r,mɜ:rsɜ:r
5654,3,mĕʹrchăndīſe,F.,,,n.,18.0,139,merchandise,merchandise,m 3:r tS @ n d aI z,mɜ:r?ənd?z
5655,2,mĕʹrchănt,F.,,,n.,19.0,139,merchant,merchant,m 3:r tS @ n t,mɜ:r?ənt
5656,3,mĕʹrcĭful,,,,a.,20.0,139,merciful,merciful,m 3:r s i f @ l,mɜ:rsifəl
5657,3,mĕʹrcĭleſs,,,,a.,21.0,139,merciless,merciless,m 3:r s @ l @ s,mɜ:rsələs
5658,4,mĕrcūʹrĭal,,,,a.,22.0,139,mercurial,mercurial,m 3:r k j U r\ i: @ l,mɜ:rkjʊɹiːəl
5659,3,mĕʹrcŭry,,,,n.,23.0,139,mercury,mercury,m 3:r k j 3:r i:,mɜ:rkjɜ:riː
5660,2,mĕʹrcy,F.,,,n.,24.0,139,mercy,mercy,m 3:r s i:,mɜ:rsiː
5661,4,merĭʹdĭan,,,,n.,26.0,139,meridian,meridian,m 3:r I 4 i: @ n,mɜ:rɪɾiːən
5662,2,mĕʹrit,L.,,,n.,28.0,139,merit,merit,m E r\ @ t,mɛɹət
5663,5,merĭtōʹrĭ_o_us,L.,,,a.,29.0,139,meritorious,meritorious,m E r\ @ t O: r\ i: @ s,mɛɹətOːɹiːəs
5664,2,mĕʹrry,,,,a.,32.0,139,merry,merry,m E r\ i:,mɛɹiː
5665,1,mĕſs,,,,n.,36.0,139,mess,mess,m E s,mɛs
5666,2,mĕʹſſage,F.,,,n.,37.0,139,message,message,m E s @ dZ,mɛsə?
5667,3,mĕʹſsĕnger,F.,,,n.,38.0,139,messenger,messenger,m E s @ n dZ 3:r,mɛsən?ɜ:r
5668,3,meſsīʹāh,,,,n.,39.0,139,messiah,messiah,m @ s aI @,məs?ə
5669,2,mĕʹtal,,,,n.,43.0,139,metal,metal,m E 4 @ l,mɛɾəl
5670,3,metăʹllic,,,,a.,45.0,139,metallic,metallic,m @ t { l i k,mətælik
5671,4,mĕtăllŭʹrgy,G.,,,n.,47.0,139,metallurgy,metallurgy,m E 4 @ l 3:r dZ i:,mɛɾəlɜ:r?iː
5672,5,mĕtămŏʹrphŏſis,G.,,,n.,49.0,139,metamorphosis,metamorphosis,m E 4 @ m O: r\ f @ s @ s,mɛɾəmOːɹfəsəs
5673,3,mĕʹtăphŏr,G.,,,n.,50.0,139,metaphor,metaphor,m E 4 @ f O: r\,mɛɾəfOːɹ
5674,5,mĕtăphōʹrĭcal,,,,a.,51.0,139,metaphorical,metaphorical,m E 4 @ f O: r\ i k @ l,mɛɾəfOːɹikəl
5675,1,mete,L.,,,v.,56.0,139,mete,mete,m i: t,miːt
5676,3,mĕʹtĕors,G.,,,n.,58.0,139,meteors,meteors,m i: 4 i: 3:r z,miːɾiːɜ:rz
5677,2,mĕʹthod,G.,,,n.,60.0,139,method,method,m E T @ d,mɛθəd
5678,4,mĕthōʹdĭcal,,,,a.,61.0,139,methodical,methodical,m @ T A 4 @ k @ l,məθɑɾəkəl
5679,3,mĕʹthŏdiſt,,,,n.,63.0,139,methodist,methodist,m E T @ 4 @ s t,mɛθəɾəst
5680,4,metrŏʹpŏlis,G.,,,n.,68.0,139,metropolis,metropolis,m @ t r\ A p @ l @ s,mətɹɑpələs
5681,5,mĕtrŏpŏʹlĭtan,,,,a.,69.0,139,metropolitan,metropolitan,m E t r\ @ p A l @ t @ n,mɛtɹəpɑlətən
5682,2,mĕʹttle,,,,n.,70.0,139,mettle,mettle,m E 4 @ l,mɛɾəl
5683,1,mew,,,,n.,73.0,139,mew,mew,m j u,mju
5684,1,mīce,,,,n.,2.0,140,mice,mice,m aI s,m?s
5685,2,mĭckle,,nbSyll>1 et pas d'accent tonic,,a.,4.0,140,mickle,mickle,m I k @ l,mɪkəl
5686,3,mĭʹcrŏcoſm,G.,,,n.,5.0,140,microcosm,microcosm,m aI k r\ @ k A z @ m,m?kɹəkɑzəm
5687,3,mĭʹcrŏſcōpe,G.,,,n.,6.0,140,microscope,microscope,m aI k r\ @ s k @U p,m?kɹəskoʊp
5688,2,mĭʹdday,,,,n.,7.0,140,midday,midday,m I d d eI,mɪdd?
5689,1,mĭʹddle,,,,n.,8.0,140,middle,middle,m I 4 @ l,mɪɾəl
5690,2,mĭʹddling,,,,a.,9.0,140,middling,middling,m I 4 @ l i N,mɪɾəliŋ
5691,3,mĭʹdſhĭpmen,,,,n.,11.0,140,midshipmen,midshipmen,m I d S I p m E n,mɪdʃɪpmɛn
5692,3,mĭdsŭmmer,,nbSyll>1 et pas d'accent tonic,,n.,12.0,140,midsummer,midsummer,m I d s V m 3:r,mɪdsʌmɜ:r
5693,2,mĭʹdwīfe,,,,n.,13.0,140,midwife,midwife,m I d w aI f,mɪdw?f
5694,1,mī_gh_t,,,,n.,14.0,140,might,might,m aI t,m?t
5695,2,mī_gh_ty,,nbSyll>1 et pas d'accent tonic,,a.,15.0,140,mighty,mighty,m aI 4 i:,m?ɾiː
5696,4,mĭgrāʹtion,L.,,,n.,16.0,140,migration,migration,m aI g r\ eI S @ n,m?gɹ?ʃən
5697,1,mĭlc_h_,,,,a.,17.0,140,milch,milch,m I l tS,mɪl?
5698,1,mīld,,,,a.,18.0,140,mild,mild,m aI l d,m?ld
5699,2,mĭʹldew,,,,n.,19.0,140,mildew,mildew,m I l d u,mɪldu
5700,1,mīle,L.,,,n.,20.0,140,mile,mile,m aI l,m?l
5701,3,mĭʹlĭtănt,,,,a.,23.0,140,militant,militant,m I l @ t @ n t,mɪlətənt
5702,4,mĭʹlĭtăry,L.,,,n.,24.0,140,military,military,m I l @ t E r\ i:,mɪlətɛɹiː
5703,4,mĭlĭʹtiā,L.,,,n.,25.0,140,militia,militia,m @ l I S @,məlɪʃə
5704,1,mĭlk,,,,n.,26.0,140,milk,milk,m I l k,mɪlk
5705,2,mĭlky,,nbSyll>1 et pas d'accent tonic,,n.,27.0,140,milky,milky,m I l k i:,mɪlkiː
5706,1,mĭll,,,,n.,28.0,140,mill,mill,m I l,mɪl
5707,2,mĭʹller,,,,n.,33.0,140,miller,miller,m I l 3:r,mɪlɜ:r
5708,2,mĭʹllet,F.,,,n.,34.0,140,millet,millet,m I l @ t,mɪlət
5709,3,mĭʹllĭon,F.,,,n.,35.0,140,million,million,m I l j @ n,mɪljən
5710,1,mĭlt,,,,n.,37.0,140,milt,milt,m I l t,mɪlt
5711,2,mĭʹmĭc,G.,,,n.,38.0,140,mimic,mimic,m I m i k,mɪmik
5712,1,mĭnce,F.,,,v.,39.0,140,mince,mince,m I n s,mɪns
5713,2,mĭʹncing,,,,n.,40.0,140,mincing,mincing,m I n s i N,mɪnsiŋ
5714,1,mīnd,,,,n.,41.0,140,mind,mind,m aI n d,m?nd
5715,2,mīʹndful,,,,a.,42.0,140,mindful,mindful,m aI n d f @ l,m?ndfəl
5716,1,mīne,F.,,,n.,43.0,140,mine,mine,m aI n,m?n
5717,3,mĭʹnĕral,,,,a.,44.0,140,mineral,mineral,m I n 3:r @ l,mɪnɜ:rəl
5718,3,mĭʹnĕrals,L.,,,n.,45.0,140,minerals,minerals,m I n 3:r @ l z,mɪnɜ:rəlz
5719,2,mīʹners,,,,n.,46.0,140,miners,miners,m aI n 3:r z,m?nɜ:rz
5720,3,mĭnĕʹrvā,,,,n.,47.0,140,minerva,minerva,m @ n 3:r v @,mənɜ:rvə
5721,2,mĭʹngle,,,,v.,48.0,140,mingle,mingle,m I N g @ l,mɪŋgəl
5722,4,mĭʹnĭătūre,,,,a.,49.0,140,miniature,miniature,m I n i: @ tS U r\,mɪniːə?ʊɹ
5723,3,mĭʹnĭon,,,,n.,50.0,140,minion,minion,m I n j @ n,mɪnjən
5724,2,mĭʹniſh,,,,v.,51.0,140,minish,minish,m I n i S,mɪniʃ
5725,3,mĭʹnĭſt_e_r,,,,n.,52.0,140,minister,minister,m I n @ s t 3:r,mɪnəstɜ:r
5726,5,mĭnĭſtĕʹrĭal,,,,a.,53.0,140,ministerial,ministerial,m I n i s t i: r\ i: @ l,mɪnistiːɹiːəl
5727,3,mĭʹnĭſtry,L.,,,n.,54.0,140,ministry,ministry,m I n @ s t r\ i:,mɪnəstɹiː
5728,5,mĭnĭſtrāʹtion,,,,n.,55.0,140,ministration,ministration,m I n @ s t r\ eI S @ n,mɪnəstɹ?ʃən
5729,3,mĭʹnĭum,L.,,,n.,56.0,140,minium,minium,m I n i: @ m,mɪniːəm
5730,2,mīʹnor,,,,n.,58.0,140,minor,minor,m aI n 3:r,m?nɜ:r
5731,4,minŏʹrĭty,,,,n.,60.0,140,minority,minority,m aI n O: r\ @ 4 i:,m?nOːɹəɾiː
5732,2,mĭʹnſt_e_r,,,,n.,63.0,140,minster,minster,m I n s t 3:r,mɪnstɜ:r
5733,2,mĭʹnſtrel,,,,n.,64.0,140,minstrel,minstrel,m I n s t r\ @ l,mɪnstɹəl
5734,1,mĭnt,,,,n.,66.0,140,mint,mint,m I n t,mɪnt
5735,3,mĭʹnūet,,,,n.,67.0,140,minuet,minuet,m I n j @ w E t,mɪnjəwɛt
5736,2,mĭnūʹte,,,,a.,68.0,140,minute,minute,m I n @ t,mɪnət
5737,3,mĭʹrăcle,L.,,,n.,70.0,140,miracle,miracle,m I r\ @ k @ l,mɪɹəkəl
5738,4,mĭrăʹcŭl_o_us,,,,a.,71.0,140,miraculous,miraculous,m 3:r { k j @ l @ s,mɜ:rækjələs
5739,1,mīre,,,,n.,72.0,140,mire,mire,m aI r\,m?ɹ
5740,1,mĭrth,,,,n.,3.0,141,mirth,mirth,m 3:r T,mɜ:rθ
5741,3,mĭsăpplyʹ,,,,v.,8.0,141,misapply,misapply,m i s @ p l aI,misəpl?
5742,3,mĭſbehāʹve,,,,v.,10.0,141,misbehave,misbehave,m I s b @ h eI v,mɪsbəh?v
5743,5,mĭſcĕllāʹne_o_us,L.,,,a.,13.0,141,miscellaneous,miscellaneous,m I s @ l eI n i: @ s,mɪsəl?niːəs
5744,2,mĭʹſchief,,,,n.,16.0,141,mischief,mischief,m I s tS @ f,mɪs?əf
5745,3,mĭſchieʹv_o_us,,,,a.,17.0,141,mischievous,mischievous,m I s tS @ v @ s,mɪs?əvəs
5746,3,mĭſcŏnceiʹve,,,,v.,18.0,141,misconceive,misconceive,m i s k @ n s i: v,miskənsiːv
5747,3,mĭſcŏʹnſtrūe,L.,,,v.,20.0,141,misconstrue,misconstrue,m i s k @ n s t r\ u,miskənstɹu
5748,3,mĭʹſcrėȧnt,F.,,,n.,22.0,141,miscreant,miscreant,m I s k r\ i: @ n t,mɪskɹiːənt
5749,2,mĭſdeeʹds,,,,n.,23.0,141,misdeeds,misdeeds,m i s d i: d z,misdiːdz
5750,2,mīʹſer,L.,,,n.,25.0,141,miser,miser,m aI z 3:r,m?zɜ:r
5751,4,mĭʹsĕrable,,,,a.,26.0,141,miserable,miserable,m I z 3:r @ b @ l,mɪzɜ:rəbəl
5752,3,mĭʹsĕry,L.,,,n.,27.0,141,misery,misery,m I z 3:r i:,mɪzɜ:riː
5753,3,mĭsfŏʹrtūne,,,,n.,28.0,141,misfortune,misfortune,m i s f O: r\ tS @ n,misfOːɹ?ən
5754,2,mĭſgĭʹve,,,,v.,29.0,141,misgive,misgive,m i s g I v,misgɪv
5755,2,mĭſhăʹp,,,,n.,31.0,141,mishap,mishap,m I s h { p,mɪshæp
5756,3,mĭsĭnfoʹrm,,,,v.,33.0,141,misinform,misinform,m i s I n f O: r\ m,misɪnfOːɹm
5757,4,mĭsĭntĕʹrpret,L.,,,v.,34.0,141,misinterpret,misinterpret,m i s i n t 3:r p r\ @ t,misintɜ:rpɹət
5758,2,mĭsjŭʹdge,,,,v.,35.0,141,misjudge,misjudge,m i s dZ V dZ,mis?ʌ?
5759,2,mĭſleaʹd,,,,v.,37.0,141,mislead,mislead,m i s l i: d,misliːd
5760,3,mĭſmăʹnage,,,,v.,39.0,141,mismanage,mismanage,m i s m { n i dZ,mismæni?
5761,4,mĭſmăʹnag_e_ment,,,,n.,40.0,141,mismanagement,mismanagement,m i s m { n i dZ m @ n t,mismæni?mənt
5762,2,mĭſmăʹtch,,,,v.,41.0,141,mismatch,mismatch,m i s m { tS,mismæ?
5763,3,mĭſnōʹmer,L.,,,n.,43.0,141,misnomer,misnomer,m i s n @U m 3:r,misnoʊmɜ:r
5764,2,mĭſplāʹce,,,,v.,44.0,141,misplace,misplace,m i s p l eI s,mispl?s
5765,2,mĭſprĭʹnt,,,,v.,45.0,141,misprint,misprint,m I s p r\ I n t,mɪspɹɪnt
5766,4,mĭſprĭʹſion,,,,n.,46.0,141,misprision,misprision,m i s p r\ I Z @ n,mispɹɪʒən
5767,2,mĭſquōʹte,,,,v.,47.0,141,misquote,misquote,m i s k w @U t,miskwoʊt
5768,4,mĭſrĕprĕsĕʹnt,,,,v.,49.0,141,misrepresent,misrepresent,m i s r\ E p r\ @ z E n t,misɹɛpɹəzɛnt
5769,2,mĭſrūʹle,,,,n.,50.0,141,misrule,misrule,m i s r\ u l,misɹul
5770,1,mĭſs,,,,n.,51.0,141,miss,miss,m I s,mɪs
5771,2,mĭʹſſal,L.,,,n.,52.0,141,missal,missal,m I s @ l,mɪsəl
5772,3,miſshăʹp_e_n,,,,a.,55.0,141,misshapen,misshapen,m i s S eI p @ n,misʃ?pən
5773,3,mĭſſion,L.,nbSyll>1 et pas d'accent tonic,,n.,56.0,141,mission,mission,m I S @ n,mɪʃən
5774,5,mĭſſionāry,,nbSyll>1 et pas d'accent tonic,,n.,57.0,141,missionary,missionary,m I S @ n E r\ i:,mɪʃənɛɹiː
